Kills,Damage,Boosts,Heals,Distance,Weapons,Revives,Headshots,is_pro
1,163,0,0,184,4,0,0,0
0,64,0,0,1457,3,1,0,0
1,100,0,0,315,4,1,0,0
0,0,0,0,3,1,0,0,0
3,257,3,8,2335,6,1,1,1
2,127,6,12,3499,7,0,0,1
0,18,0,0,986,4,0,0,0
1,61,1,1,127,2,0,0,0
0,0,0,0,240,1,0,0,0
2,200,2,1,1273,5,0,0,1
1,277,6,4,3708,3,0,0,1
2,163,0,0,297,3,0,0,1
0,0,0,0,376,3,0,0,0
0,44,0,0,79,1,0,0,0
3,494,2,3,2261,6,1,1,1
0,38,0,0,408,4,0,0,0
0,0,0,0,211,2,0,0,0
0,0,0,0,0,0,0,0,0
1,255,0,2,323,2,0,0,0
0,136,0,0,49,1,0,0,0
0,0,0,0,274,3,0,0,0
1,256,1,1,1460,4,0,0,0
1,119,1,11,557,3,0,0,0
1,100,0,0,87,2,0,0,0
0,0,0,0,160,4,0,0,0
1,100,0,0,1301,4,0,0,0
0,0,0,0,34,0,0,0,0
0,136,2,14,1025,4,0,0,0
1,84,0,0,2761,4,1,1,0
3,252,2,0,921,6,0,3,1
0,43,0,0,133,2,0,0,0
2,243,2,3,1387,3,0,0,1
2,495,3,11,3488,6,0,0,1
3,203,3,2,3627,4,0,0,1
1,0,0,0,335,3,0,0,0
1,142,3,2,3455,4,1,1,0
0,23,0,0,231,4,0,0,0
2,252,0,0,88,1,0,0,1
0,50,4,6,1907,4,0,0,0
0,81,0,0,1899,4,0,0,0
3,246,2,6,2885,6,0,1,1
0,149,1,0,101,2,0,0,0
0,20,0,0,480,4,0,0,0
0,34,0,0,60,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,3,0,1716,6,1,0,0
4,323,1,0,130,5,0,0,1
0,8,0,0,166,2,0,0,0
1,176,0,0,51,2,0,0,0
2,209,0,0,411,1,1,0,1
2,200,4,2,2252,4,0,1,1
0,0,0,0,1,0,0,0,0
1,129,0,0,310,3,0,0,0
0,0,0,0,66,1,0,0,0
1,293,0,0,184,2,0,1,1
0,0,4,2,2875,5,1,0,0
0,0,0,0,45,0,0,0,0
2,195,2,6,1827,6,0,0,1
7,666,3,2,3844,5,0,2,1
0,0,4,3,2827,6,0,0,0
0,0,0,1,1713,4,0,0,0
1,55,3,0,1701,5,1,0,0
0,0,0,0,60,0,0,0,0
1,100,0,1,89,1,0,1,0
0,100,0,0,13,1,0,0,0
0,0,2,0,1600,5,0,0,0
0,0,0,0,129,2,0,0,0
1,167,7,9,2129,8,0,0,0
0,0,0,0,864,5,0,0,0
0,206,5,9,2212,5,0,0,0
0,0,0,0,61,1,0,0,0
0,0,0,0,14,1,0,0,0
0,96,2,3,1647,7,0,0,0
0,32,1,0,1212,2,0,0,0
1,152,4,2,4575,8,0,0,0
0,62,0,0,102,1,0,0,0
1,119,1,2,1097,7,1,1,0
1,278,4,3,4546,5,0,1,1
2,209,3,0,3324,2,0,0,1
2,387,1,3,1170,6,0,2,1
0,100,0,0,3157,3,0,0,0
2,380,4,1,1849,4,0,0,1
2,245,4,9,2888,4,0,0,1
0,26,0,0,33,0,0,0,0
2,249,1,0,910,3,0,2,1
0,26,0,0,268,2,0,0,0
0,0,0,0,56,1,0,0,0
1,123,0,0,562,1,0,1,0
1,118,0,0,1165,7,0,0,0
2,157,1,1,3259,5,0,1,1
1,112,0,2,424,4,0,0,0
1,124,0,1,69,2,0,0,0
0,26,0,0,2665,3,0,0,0
1,100,2,0,3062,5,0,1,0
0,0,0,0,90,2,0,0,0
0,72,0,0,2,0,0,0,0
0,22,0,1,222,6,1,0,0
1,114,0,0,226,3,0,1,0
2,254,3,5,3039,8,3,0,1
0,72,0,0,1041,5,0,0,0
0,148,0,5,144,3,0,0,0
0,0,0,0,2525,8,0,0,0
0,0,1,0,1087,2,0,0,0
0,100,0,0,810,4,0,0,0
0,33,0,0,156,3,0,0,0
0,38,0,0,670,4,0,0,0
0,76,0,1,449,5,1,0,0
1,161,0,0,399,2,1,0,0
1,100,0,0,433,3,0,0,0
0,0,1,1,152,3,0,0,0
1,96,0,0,375,4,0,0,0
0,85,5,2,4485,5,0,0,0
2,294,0,0,39,2,0,0,1
1,201,0,1,2560,6,0,0,0
1,100,0,1,267,2,0,0,0
0,57,0,0,1306,5,0,0,0
0,0,0,0,170,4,0,0,0
1,35,0,0,209,2,0,0,0
5,492,7,4,2216,3,1,1,1
1,31,1,0,817,3,0,0,0
1,139,2,5,499,5,0,0,0
0,28,0,0,1282,2,0,0,0
5,460,7,6,2824,6,0,1,1
0,0,4,0,2478,5,0,0,0
6,543,9,5,3478,4,2,1,1
0,34,3,1,1731,3,0,0,0
0,0,0,0,252,3,0,0,0
0,0,0,0,220,0,0,0,0
0,0,0,0,0,0,0,0,0
0,66,1,1,1164,3,0,0,0
1,214,0,0,192,2,0,0,0
4,315,1,3,3002,4,0,0,1
2,164,3,5,2375,5,0,2,1
0,0,0,0,807,3,0,0,0
1,172,0,0,360,3,0,1,0
2,358,3,17,2115,4,1,1,1
0,52,0,0,711,5,0,0,0
0,16,4,1,1870,6,0,0,0
1,127,1,0,269,2,0,0,0
3,288,3,0,2836,5,0,0,1
5,430,13,11,4723,6,1,0,1
0,0,0,0,2,0,0,0,0
0,0,0,0,11,1,0,0,0
0,10,1,3,185,2,1,0,0
0,0,0,0,272,2,0,0,0
3,589,1,4,1958,2,2,3,1
0,0,0,0,1079,3,0,0,0
0,0,0,1,346,2,0,0,0
0,0,0,0,107,1,0,0,0
0,129,0,0,292,2,0,0,0
0,0,0,0,189,4,0,0,0
0,52,0,0,671,4,0,0,0
5,488,10,2,3421,6,0,0,1
2,248,3,13,4637,3,1,1,1
0,0,0,0,191,2,0,0,0
0,0,1,0,4461,6,0,0,0
0,0,0,0,190,2,0,0,0
0,0,0,0,1858,2,0,0,0
4,397,2,3,744,3,0,0,1
0,76,0,0,165,3,0,0,0
1,193,1,2,250,4,0,0,0
0,86,0,0,437,2,0,0,0
2,250,0,0,2516,3,0,1,1
0,0,0,0,3427,4,0,0,0
6,692,4,0,2859,5,3,2,1
0,16,0,0,78,3,0,0,0
0,23,0,0,740,5,0,0,0
1,100,1,4,181,3,0,0,0
2,219,0,1,950,3,0,1,1
1,166,0,0,44,2,0,0,0
0,0,2,4,462,6,0,0,0
6,774,3,1,4015,7,0,1,1
0,0,0,0,1108,5,0,0,0
4,214,1,0,352,4,2,0,1
0,0,0,0,318,2,0,0,0
1,10,0,0,82,1,0,0,0
0,75,0,0,726,5,0,0,0
0,0,1,5,1363,4,0,0,0
0,181,3,0,2403,5,0,0,0
0,100,0,0,46,1,0,0,0
0,33,0,0,80,2,0,0,0
1,71,2,1,2088,4,0,0,0
4,440,1,0,1270,3,0,1,1
0,0,0,0,2345,3,0,0,0
1,100,0,0,28,1,0,0,0
0,0,0,0,0,1,0,0,0
1,50,0,0,338,4,1,0,0
3,300,0,0,43,1,0,0,1
2,202,1,2,1873,7,0,0,1
0,256,2,0,499,6,0,0,0
0,59,0,0,30,1,0,0,0
0,241,5,5,3920,6,0,0,0
2,192,0,0,914,6,0,1,1
2,266,4,5,2746,5,0,1,1
2,273,2,3,1483,2,0,0,1
1,14,0,0,130,1,0,1,0
0,58,0,2,1459,3,0,0,0
0,0,1,0,1448,3,1,0,0
0,92,0,0,362,3,0,0,0
0,0,0,0,236,3,0,0,0
0,139,0,0,95,3,0,0,0
0,29,0,1,1500,5,0,0,0
1,153,0,0,2156,5,0,0,0
0,0,0,1,1201,3,0,0,0
1,178,1,1,235,3,1,0,0
1,156,4,7,1758,9,0,1,0
0,33,0,0,82,3,0,0,0
0,0,0,0,128,2,0,0,0
4,410,3,1,608,4,0,1,1
0,21,6,7,3031,5,0,0,0
0,87,0,0,236,5,0,0,0
2,319,3,1,1061,3,0,0,1
1,276,2,3,1885,4,1,0,1
2,185,3,0,1708,5,0,0,1
0,0,1,5,557,3,0,0,0
9,968,5,5,2243,6,0,3,1
0,0,0,0,24,2,0,0,0
1,21,0,0,218,2,0,0,0
3,344,2,4,1700,5,0,1,1
3,416,2,8,829,3,0,0,1
2,92,1,1,1454,6,0,0,1
0,50,0,0,12,0,0,0,0
3,310,4,0,1338,7,1,0,1
0,40,0,0,5,0,0,0,0
0,0,0,0,276,2,0,0,0
0,176,0,0,347,3,0,0,0
0,0,0,0,148,3,0,0,0
0,52,0,0,363,2,0,0,0
1,180,0,5,1738,4,1,0,0
0,0,0,1,125,3,0,0,0
5,590,5,5,2158,3,3,1,1
5,508,5,2,2942,4,0,1,1
1,193,4,2,1841,7,0,0,0
2,232,0,0,988,3,1,0,1
0,21,0,0,1122,9,0,0,0
1,98,2,1,2120,3,0,0,0
0,127,0,0,133,2,0,0,0
0,0,0,0,128,0,0,0,0
2,267,3,0,2391,6,0,1,1
5,424,8,1,1057,10,0,0,1
0,83,0,5,234,2,0,0,0
5,402,4,0,2646,7,0,2,1
1,61,4,0,2911,7,0,0,0
4,437,1,2,2175,2,0,3,1
0,0,0,0,7,0,0,0,0
0,0,0,0,94,1,0,0,0
2,315,3,1,1980,4,0,0,1
0,137,6,3,1434,8,0,0,0
3,342,5,11,2619,5,2,1,1
4,311,0,0,647,2,0,0,1
3,218,3,9,2799,4,0,1,1
1,100,1,1,677,2,0,0,0
0,100,0,0,214,3,0,0,0
0,0,0,0,946,4,0,0,0
3,340,4,1,3326,4,0,1,1
1,100,0,0,210,4,0,0,0
0,0,4,3,4254,4,0,0,0
1,149,2,0,856,4,0,0,0
0,112,0,0,465,5,0,0,0
1,0,2,2,4020,7,0,0,0
1,147,0,0,56,1,0,0,0
0,44,0,0,553,2,0,0,0
0,0,0,0,0,0,0,0,0
0,47,5,10,1559,2,0,0,0
1,8,0,0,287,2,0,0,0
1,28,0,1,616,3,0,1,0
0,0,0,0,63,0,0,0,0
1,122,9,2,3213,4,0,1,0
0,71,5,11,3045,6,1,0,0
0,0,0,0,9,1,0,0,0
0,235,2,1,1816,8,0,0,0
0,39,0,0,51,0,0,0,0
0,0,6,1,2803,7,0,0,0
1,88,0,0,734,3,1,0,0
2,215,2,1,495,5,0,1,1
1,100,0,0,92,2,0,0,0
0,0,1,0,168,2,0,0,0
1,196,1,2,1272,7,0,0,0
1,207,0,0,182,2,0,0,0
4,362,2,2,683,4,0,1,1
2,298,1,0,2044,6,0,0,1
0,57,0,0,409,3,0,0,0
0,82,0,0,685,4,0,0,0
1,175,3,5,3337,10,0,0,0
0,21,0,0,359,3,0,0,0
5,502,2,4,2692,4,0,3,1
1,207,1,0,2201,5,1,1,0
0,75,0,0,402,5,0,0,0
0,0,0,0,1457,4,0,0,0
1,47,0,0,280,8,1,0,0
1,100,0,0,1923,4,0,0,0
0,23,0,0,61,2,0,0,0
0,79,1,1,489,4,0,0,0
1,100,0,0,98,3,0,1,0
0,13,0,0,18,1,0,0,0
0,0,0,0,114,0,0,0,0
0,47,0,0,26,3,0,0,0
0,28,0,0,139,1,0,0,0
5,332,2,1,3676,4,0,1,1
1,100,1,1,1304,5,0,0,0
0,0,1,0,928,4,0,0,0
5,600,3,5,3626,4,0,2,1
1,100,0,0,10,1,0,0,0
1,100,0,5,91,2,0,0,0
0,0,0,0,274,4,0,0,0
6,867,7,0,2007,6,0,2,1
2,270,0,0,1020,6,0,0,1
0,224,0,1,791,3,0,0,0
1,151,2,6,344,3,1,1,0
1,42,0,0,1663,3,0,0,0
0,157,0,0,89,2,0,0,0
0,0,0,0,3808,8,0,0,0
0,163,5,4,3509,3,0,0,0
1,157,2,1,3245,5,0,0,0
0,0,0,0,1700,6,0,0,0
1,136,0,1,246,2,0,0,0
2,434,4,1,1594,6,1,0,1
1,92,3,4,1216,5,0,0,0
0,83,2,1,3645,6,0,0,0
0,82,0,0,150,3,0,0,0
0,70,2,1,1580,6,0,0,0
1,172,0,0,130,2,0,0,0
0,0,0,0,32,1,0,0,0
2,192,4,3,3783,7,0,1,1
2,195,1,6,321,2,1,0,1
0,45,0,0,115,1,0,0,0
0,57,0,0,206,3,0,0,0
3,357,2,1,2181,4,0,0,1
0,130,0,1,1406,5,0,0,0
6,515,1,1,1155,3,0,0,1
0,150,0,0,248,3,0,0,0
3,557,5,1,1711,3,1,1,1
2,430,2,2,3710,3,0,0,1
0,0,0,0,1,0,0,0,0
0,76,0,0,24,0,0,0,0
0,179,0,0,824,8,1,0,0
0,50,0,0,495,5,0,0,0
0,164,0,0,916,6,0,0,0
1,209,0,5,880,4,0,0,0
0,282,2,1,2288,4,0,0,1
1,10,0,0,613,5,1,0,0
2,200,0,1,1676,4,0,1,1
2,254,0,0,1221,2,0,1,1
1,195,0,0,75,1,0,0,0
1,100,0,0,229,2,0,1,0
0,0,0,0,83,0,0,0,0
1,100,0,0,205,2,0,0,0
1,217,1,1,2520,9,0,1,0
5,678,4,3,914,3,0,1,1
0,19,0,1,284,4,0,0,0
0,200,0,1,566,2,0,0,0
1,327,1,6,2686,4,0,1,1
0,0,0,0,366,1,0,0,0
0,21,0,0,2979,7,0,0,0
